PMAID,Name,Alt_Name,xPos,yPos,Feature_ID,hours,Feature_Desc,CHILD_DESC,FIELD_TYPE,YOUTH_ONLY,LIGHTING,Location 1
281,12th and Howe Play Park,,-122.372985,47.636097,22,6 a.m. - 10 p.m.,Play Area,Play Area,,FALSE,FALSE,"1200 W Howe St
(-122.372985, 47.636097)"
4159,12th Ave S Viewpoint,,-122.317765,47.577953,34,6 a.m. - 10 p.m.,View,,,FALSE,FALSE,"2821 12TH Ave S
(-122.317765, 47.577953)"
4010,14th Ave NW Boat Ramp,,-122.373536,47.660775,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry),,,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
4010,14th Ave NW Boat Ramp,,-122.373536,47.660775,6,4 a.m. - 11:30 p.m.,Boat Launch (Motorized),,,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
4010,14th Ave NW Boat Ramp,,-122.373536,47.660775,36,4 a.m. - 11:30 p.m.,Waterfront,,,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
1000001,32nd Ave W Boat Launch,,,,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry),,,FALSE,FALSE,
3158,6th Ave NW Pocket Park,,,,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,
4404,A. B. Ernst Park,,-122.348826,47.650087,33,4 a.m. - 11:30 p.m.,Paths,,,FALSE,FALSE,"723 N 35th St
(-122.348826, 47.650087)"
4404,A. B. Ernst Park,,-122.348826,47.650087,34,4 a.m. - 11:30 p.m.,View,,,FALSE,FALSE,"723 N 35th St
(-122.348826, 47.650087)"
1000002,Adams Street Boat Ramp,,,,7,6 a.m. - 10:00 p.m.,Boat Launch (Hand Carry),,,FALSE,FALSE,
1000002,Adams Street Boat Ramp,,,,36,6 a.m. - 10:00 p.m.,Waterfront,,,FALSE,FALSE,
244,Albert Davis Park,,,47.72021,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,
445,Alki Beach Park,Luna Park,-122.402173,47.582912,7,4 a.m.-11:30 p.m.,Boat Launch (Hand Carry),East,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,7,4 a.m.-11:30 p.m.,Boat Launch (Hand Carry),West,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,14,4 a.m.-11:30 p.m.,Fire Pit,Fire Pit 1,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,33,4 a.m.-11:30 p.m.,Paths,,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,42,4 a.m.-11:30 p.m.,Paths (ADA Compliant),,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,21,4 a.m.-11:30 p.m.,Picnic Sites,Picnic Site #1,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,26,4 a.m.-11:30 p.m.,Rental Facility,,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,27,4 a.m.-11:30 p.m.,Restrooms,,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,40,4 a.m.-11:30 p.m.,Restrooms (ADA Compliant),,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,34,4 a.m.-11:30 p.m.,View,,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
445,Alki Beach Park,Luna Park,-122.402173,47.582912,36,4 a.m.-11:30 p.m.,Waterfront,,,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
475,Belvoir Place,,-122.283215,47.655124,15,4 a.m. - 11:30 p.m.,Fishing,,,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
3914,Alvin Larkins Park,,-122.288745,47.614318,33,4 a.m. - 11:30 p.m.,Paths,,,FALSE,FALSE,"1504 34TH Ave
(-122.288745, 47.614318)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #1,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #2,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #3,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #4,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #5,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
426,Amy Yee Tennis Center,,-122.29742,47.584876,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor),Tennis Court #6,,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
2927,Andover Place,,-122.409993,47.568517,34,4 a.m. - 11:30 p.m.,View,,,FALSE,FALSE,"4000 Beach Dr SW
(-122.409993, 47.568517)"
2927,Andover Place,,-122.409993,47.568517,36,4 a.m. - 11:30 p.m.,Waterfront,,,FALSE,FALSE,"4000 Beach Dr SW
(-122.409993, 47.568517)"
485,Arroyos Natural Area,,-122.387822,47.505679,56,4 a.m. - 11:30 p.m.,Green Space,,,FALSE,FALSE,"4120 Arroyo Dr SW
(-122.387822, 47.505679)"
485,Arroyos Natural Area,,-122.387822,47.505679,37,4 a.m. - 11:30 p.m.,Woods,,,FALSE,FALSE,"4120 Arroyo Dr SW
(-122.387822, 47.505679)"
4081,Atlantic City Boat Ramp,,-122.263078,47.522834,6,24 Hours,Boat Launch (Motorized),,,FALSE,FALSE,"8702 Seward Park Ave S
(-122.263078, 47.522834)"
4081,Atlantic City Boat Ramp,,-122.263078,47.522834,36,24 Hours,Waterfront,,,FALSE,FALSE,"8702 Seward Park Ave S
(-122.263078, 47.522834)"
4243,Atlantic Street Park,,-122.30566,47.589165,74,4 a.m. - 11:30 p.m.,Adult Fitness Equipment,Adult Fitness Equipment,,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
4243,Atlantic Street Park,,-122.30566,47.589165,33,4 a.m. - 11:30 p.m.,Paths,,,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
4243,Atlantic Street Park,,-122.30566,47.589165,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant),,,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
4243,Atlantic Street Park,,-122.30566,47.589165,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,"1501 21st Ave S
(-122.30566, 47.589165)"
2840,Baker Park on Crown Hill,,-122.374794,47.690119,33,4 a.m. - 11:30 p.m.,Paths,,,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
2840,Baker Park on Crown Hill,,-122.374794,47.690119,20,4 a.m. - 11:30 p.m.,Pesticide Free,,,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
2840,Baker Park on Crown Hill,,-122.374794,47.690119,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,"8347 14th Ave NW
(-122.374794, 47.690119)"
4278,Ballard Commons Park,,-122.385487,47.670549,28,4 a.m. - 11:30 p.m.,Skatepark,,,FALSE,FALSE,"5701 22nd Ave NW
(-122.385487, 47.670549)"
4278,Ballard Commons Park,,-122.385487,47.670549,35,4 a.m. - 11:30 p.m.,Wading Pool or Water Feature,,,FALSE,FALSE,"5701 22nd Ave NW
(-122.385487, 47.670549)"
4428,Ballard Corners Park,,-122.379116,47.674186,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,"1702 nw 62nd St
(-122.379116, 47.674186)"
1000342,Bayview-Kinnear (Lower Kerry Park),,,,41,6 a.m. - 10 p.m.,Play Area (ADA Compliant),Play Area,,FALSE,FALSE,
